"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","complex","-","1.0",,"MRPL11 (FI) MRPL17","true",,"MRPL11 (FI) MRPL17"
"FI","complex; input","-","1.0",,"DDX23 (FI) DHX9","true",,"DDX23 (FI) DHX9"
"FI","complex","-","1.0",,"MRPL11 (FI) MRPL15","true",,"MRPL11 (FI) MRPL15"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL13 (FI) MRPS7","true",,"MRPL13 (FI) MRPS7"
"FI","complex","-","1.0",,"MRPL11 (FI) MRPL12","true",,"MRPL11 (FI) MRPL12"
"FI","complex","-","1.0",,"MRPL11 (FI) MRPL13","true",,"MRPL11 (FI) MRPL13"
"FI","catalyze; catalyzed by; complex; input","<->","1.0",,"DHX15 (FI) HNRNPU","true",,"DHX15 (FI) HNRNPU"
"FI","complex","-","1.0",,"HSPA8 (FI) PLRG1","true",,"HSPA8 (FI) PLRG1"
"FI","complex","-","1.0",,"EMG1 (FI) RRP9","true",,"EMG1 (FI) RRP9"
"FI","predicted","-","0.92",,"RANGAP1 (FI) RGPD1","true",,"RANGAP1 (FI) RGPD1"
"FI","complex; input","-","1.0",,"RBM17 (FI) SMU1","true",,"RBM17 (FI) SMU1"
"FI","complex; input","-","1.0",,"PRPF8 (FI) SRRT","true",,"PRPF8 (FI) SRRT"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL13 (FI) MRPS2","true",,"MRPL13 (FI) MRPS2"
"FI","predicted","-","0.9",,"NUMA1 (FI) SMC1A","true",,"NUMA1 (FI) SMC1A"
"FI","complex; input","-","1.0",,"CARM1 (FI) PRMT1","true",,"CARM1 (FI) PRMT1"
"FI","predicted","-","0.9",,"MATR3 (FI) TRIM25","true",,"MATR3 (FI) TRIM25"
"FI","catalyze; catalyzed by; complex; input","<->","1.0",,"DHX15 (FI) HNRNPC","true",,"DHX15 (FI) HNRNPC"
"FI","predicted","-","0.9",,"MCM4 (FI) MKI67","true",,"MCM4 (FI) MKI67"
"FI","expression regulated by","<-","1.0",,"KHSRP (FI) NFYB","true",,"KHSRP (FI) NFYB"
"FI","complex","-","1.0",,"MRPL11 (FI) MRPL19","true",,"MRPL11 (FI) MRPL19"
"FI","predicted","-","0.91",,"HSP90AA1 (FI) SF3B3","true",,"HSP90AA1 (FI) SF3B3"
