0
MOB4
SNRPA1
PDHA1
BLOC1S1
SP1
SOX9
LGALS1
LMAN2L
NASP
CCDC86
NUDT21
RPS3
DDAH1
HNRNPUL1
ACIN1
PRPF8
SAMM50
CTU2
ATL2
MAP1LC3A
MVD
BTAF1
ESYT1
NFKBIB
PGRMC1
RAB4B
PTGES2
ZC3H18
ANTXR1
CD2BP2
CAV1
HGH1
CD4
HNRNPH1
GPD2
ACBD5
SRRM1
PKN1
TCERG1
NUDT1
YY1
EIF4A3
SRSF1
POLR2I
RHOA
EBNA1BP2
AHSP
DNMBP
GPNMB
CD99L2
HNRNPK
HAT1
MORF4L1
STX6
POTEF
RPL12
GAA
MYO1G
NME3
SRP72
SRSF3
NEK3
PSPH
GPN1
MFF
A1CF
DYNC1I2
PRPF4
ATPAF1
CWF19L1
IPO9
PTBP1
CCL24
ENO1
PDLIM4
PRPF38B
RAB5A
DHX8
POLDIP2
POLR2A
RPS27A
HNRNPU
UGT2B17
ABCC1
DNASE2
MRPS9
GNAQ
OSBPL5
TMOD2
BOLA3
SRSF11
GGA3
PRPF38A
HRG
SERPINB5
UGGT1
MACF1
ZNF787
ACSM3
RPL35A
RPS10
HMGN2
ACTBL2
ARHGAP4
GTF2F1
PEX11B
CPT2
NFKB1
COPA
FMNL1
RPS11
MRPL37
JMJD6
JUND
ACOT11
UBXN6
ZNF326
UBR2
AP2B1
DHRS4L2
RPL29
HNRNPR
ITGA9
CD34
RPS28
XPO4
HP1BP3
NCEH1
TAMM41
DDX19A
USP24
TAOK3
SLC9A3
NRAS
COG6
FAT1
RFTN1
HNRNPD
ADH1B
RBM17
SUMO1
PIGU
FBLN2
LRCH1
NUP62
EXD2
CREB1
UGDH
TFB2M
RB1
POLR2H
NAA40
SNAP23
ANXA11
MBD3
SLC27A4
RAB31
MKRN2
GMEB1
SFN
FTL
RPS24
MSI2
WDR5
GNG12
GSTT1
MYCBP2
SF3A1
DIABLO
HNRNPA1
USP39
SRSF4
PXN
POLR2D
UBP1
NNT
UCHL5
SRC
MACC1
RPIA
OAS3
RNPS1
RFC5
TSPAN1
AGO2
MBNL1
DDX39A
PSME4
NUMB
TIMM21
MOCS2
MTMR14
KCMF1
VPS37A
HSD17B8
RANBP2
RPS23
ACAP2
CARD16
TRIM26
PPHLN1
VAV1
RNASEH2B
RPS2
GOLGA4
UBA52
HDAC2
PLOD3
U2AF2
RBM27
GMEB2
ZMYND11
CAMSAP3
SRSF2
HIGD1A
HDLBP
DCTN3
PRPF3
SON
HSP90B1
STAM
FNBP1
PISD
ARID3A
PAFAH1B2
IRAK1
DYNC1LI2
MET
RASA1
CDC5L
BCHE
CNBP
CBL
FANCI
GYPC
PGM2
DEFA6
ZFYVE16
PRCC
GRB2
SPTB
EIF3B
UQCC3
CDK1
EIF1AX
TAF4
SASH3
TRIM29
IRF4
ANXA6
PDSS2
PGAM5
IREB2
RPL37A
MAGOHB
MTERF4
SLC27A1
SNIP1
PCF11
WDR45
CLIC4
XAB2
POLR2E
RAD21
FHL3
CASC3
C1QB
GTF2F2
CGGBP1
ETFDH
CCDC6
ERGIC3
PDCD4
ARL2BP
GFPT1
LCN2
F12
RAB7A
SAP18
CPSF2
ENPEP
GPATCH1
PEF1
MSH2
PTPN1
NUP93
SNU13
AAMP
LTBP4
GCLM
VPS28
MRPL10
KRT17
EMILIN1
HNRNPM
GPKOW
EML3
ATP2B1
RPL38
PPIL1
PIK3R1
MYOF
HNRNPC
SNCA
HSD17B7
OSBPL8
RTCB
CELF1
DHX9
PLPP2
LSM12
NPC2
ATXN10
U2AF1
AKR1A1
HLA-B
COPS5
YBX1
RRM1
SF3B5
ZMAT2
LDHAL6B
CORO1B
VRK2
DHX29
PRPF31
WBP11
NEDD8
SH3GLB2
TOMM70
PPP2R2A
SUGP1
RPSA
SRSF7
MRPS6
DCTN2
RINT1
RBX1
PFKFB2
MFAP2
EFTUD2
OSTC
POLR2B
GFM1
JAGN1
CAPN9
DNAJC21
PPP1R14B
ELOC
RPS17
IER3IP1
STK25
SRP54
KHSRP
NHEJ1
AKR1B1
SULT2B1
SARNP
ALYREF
ATP12A
ASCC3
SMARCC2
RRP1
NDC1
CDK11B
NCBP1
RPS29
PTK2
THOC5
BANF1
THOC3
PHF5A
PCBP2
RBBP7
PLCB3
GPD1
CCAR1
AP2A2
POLR2L
LRSAM1
MECP2
MVK
EDF1
DDX55
NUP98
VPS26A
NCBP2
CTNND1
GABPA
TSC2
SRRT
AKAP17A
MAP1B
GSTM4
ATG7
RBM8A
RPA1
SDCBP
GAB1
DDRGK1
PPP1R8
TP53I3
FARS2
USP11
LAMP1
ITGA2B
EP300
DNAJA3
DCP1A
POLR2K
CRACR2A
SF3B3
RPS9
HARS2
PPP3R1
COQ6
IFITM1
POLD2
CWC22
SLC25A13
DAZAP1
ARL8B
GOSR2
RBM12
LONP1
TMUB1
CYB5R3
POLR2C
TDRD3
AKTIP
SRSF10
RBM12B
ACOT7
BPI
ACSF2
RBM47
ABCB10
POLR2F
LEO1
CAPNS1
UBR1
PDK3
DNAJC8
PLS3
EGFR
FLOT2
NOP58
NDUFA8
RSU1
DDX46
ANTXR2
FKBP3
UBE2F
LGALS3
IFT20
C9
HSPA8
PLA2G1B
CASP6
PABPC1
DHX16
CDC40
UPF1
CISD2
DEFA3
PPOX
PITPNB
ACTG1
ATP6V1B2
TNXB
RABGAP1L
KPNA1
ARL6IP1
ARHGAP1
NCK1
SLC25A3
MYCBP
NPM3
U2SURP
QSOX2
NFIC
PDE4DIP
DENND4C
GAS7
ILK
CD74
APIP
COG3
EIF2S2
CAST
RAB11FIP5
PIK3CA
CP
RPL13
C4A
RPL24
PLA2G4A
MFAP1
VRK1
CNOT9
KIF23
UBL5
PPIL2
PABPN1
TSNAX
RPL5
RBP1
GGPS1
SNRNP200
OSBPL3
WDR36
LMCD1
EHD4
SNX8
SNRNP27
RPS26
NPC1
PPL
SSU72
UTP14A
SULT1B1
GSK3B
BPGM
PGM3
DNAJC9
RPN2
NUP50
