"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.96","","PDS5A (FI) RIF1","true","","PDS5A (FI) RIF1"
"FI","complex; input","-","1.0","","CENPK (FI) DSN1","true","","CENPK (FI) DSN1"
"FI","predicted","-","0.94","","CENPK (FI) KIF11","true","","CENPK (FI) KIF11"
"FI","complex; input","-","1.0","","CENPK (FI) KNTC1","true","","CENPK (FI) KNTC1"
"FI","predicted","-","0.94","","CENPK (FI) SPAG5","true","","CENPK (FI) SPAG5"
"FI","complex; input","-","1.0","","CENPK (FI) NUF2","true","","CENPK (FI) NUF2"
"FI","complex; input","-","1.0","","CENPK (FI) PDS5A","true","","CENPK (FI) PDS5A"
"FI","PPrel: binding/association","-","1.0","","DYNC2LI1 (FI) TUBAL3","true","","DYNC2LI1 (FI) TUBAL3"
"FI","complex; input","-","1.0","","DYNC2LI1 (FI) IFT74","true","","DYNC2LI1 (FI) IFT74"
"FI","complex; input","-","1.0","","DYNC2LI1 (FI) WDR35","true","","DYNC2LI1 (FI) WDR35"
"FI","complex; input","-","1.0","","NCOA6 (FI) PPARA","true","","NCOA6 (FI) PPARA"
"FI","predicted","-","0.91","","NCOA6 (FI) TAF4","true","","NCOA6 (FI) TAF4"
"FI","reaction","-","1.0","","NCOA6 (FI) PPARGC1B","true","","NCOA6 (FI) PPARGC1B"
"FI","predicted","-","0.9","","ZNF780B (FI) ZNF91","true","","ZNF780B (FI) ZNF91"
"FI","predicted","-","0.89","","ZKSCAN1 (FI) ZNF780B","true","","ZKSCAN1 (FI) ZNF780B"
"FI","ECrel: compound","-","1.0","","PI4K2B (FI) PLCB4","true","","PI4K2B (FI) PLCB4"
"FI","ECrel: compound","-","1.0","","PI4K2B (FI) PLCE1","true","","PI4K2B (FI) PLCE1"
"FI","predicted","-","0.93","","HMMR (FI) KIF11","true","","HMMR (FI) KIF11"
"FI","predicted","-","0.92","","HMMR (FI) NUF2","true","","HMMR (FI) NUF2"
"FI","predicted","-","0.92","","HMMR (FI) NCAPG","true","","HMMR (FI) NCAPG"
"FI","complex; input","-","1.0","","HMMR (FI) TPX2","true","","HMMR (FI) TPX2"
"FI","PPrel: indirect effect","-","1.0","","ANK3 (FI) ROCK2","true","","ANK3 (FI) ROCK2"
"FI","predicted","-","0.94","","CDC25A (FI) NCAPG","true","","CDC25A (FI) NCAPG"
"FI","predicted","-","0.97","","CDC25A (FI) KIF11","true","","CDC25A (FI) KIF11"
"FI","predicted","-","0.92","","CDC25A (FI) KIF15","true","","CDC25A (FI) KIF15"
"FI","predicted","-","0.91","","CDC25A (FI) KIF14","true","","CDC25A (FI) KIF14"
"FI","predicted","-","0.94","","CDC25A (FI) MKI67","true","","CDC25A (FI) MKI67"
"FI","predicted","-","0.93","","CDC25A (FI) TPX2","true","","CDC25A (FI) TPX2"
"FI","predicted","-","0.96","","CDC25A (FI) SPAG5","true","","CDC25A (FI) SPAG5"
"FI","PPrel: activation; PPrel: activation, dephosphorylation; catalyze","->","1.0","","CDC25A (FI) CDK1","true","","CDC25A (FI) CDK1"
"FI","predicted","-","0.95","","ESF1 (FI) NOP58","true","","ESF1 (FI) NOP58"
"FI","predicted","-","0.91","","ESF1 (FI) WDR36","true","","ESF1 (FI) WDR36"
"FI","GErel: expression by; PPrel: activation","<->","1.0","","AXIN2 (FI) TCF7","true","","AXIN2 (FI) TCF7"
"FI","predicted","-","0.91","","HNF4A (FI) PPARGC1B","true","","HNF4A (FI) PPARGC1B"
"FI","expression regulates","->","1.0","","HNF4A (FI) MYB","true","","HNF4A (FI) MYB"
"FI","expression regulates","->","1.0","","HNF4A (FI) SLC40A1","true","","HNF4A (FI) SLC40A1"
"FI","expression regulates","->","1.0","","HNF4A (FI) ZNF823","true","","HNF4A (FI) ZNF823"
"FI","expression regulated by","<-","1.0","","HNF4A (FI) HNF4G","true","","HNF4A (FI) HNF4G"
"FI","expression regulates","->","1.0","","HNF4A (FI) ID1","true","","HNF4A (FI) ID1"
"FI","predicted","-","0.91","","CDC7 (FI) KIF11","true","","CDC7 (FI) KIF11"
"FI","predicted","-","0.89","","CDC7 (FI) KIF14","true","","CDC7 (FI) KIF14"
"FI","predicted","-","0.92","","CDC7 (FI) TPX2","true","","CDC7 (FI) TPX2"
"FI","predicted","-","0.89","","CDC7 (FI) DSN1","true","","CDC7 (FI) DSN1"
"FI","predicted","-","0.89","","CDC7 (FI) CDK1","true","","CDC7 (FI) CDK1"
"FI","complex; input","-","1.0","","CDC7 (FI) MCM8","true","","CDC7 (FI) MCM8"
"FI","complex","-","1.0","","CDC7 (FI) DBF4","true","","CDC7 (FI) DBF4"
"FI","predicted","-","0.89","","CDC7 (FI) NCAPG","true","","CDC7 (FI) NCAPG"
"FI","complex","-","1.0","","ACVR2B (FI) TDGF1","true","","ACVR2B (FI) TDGF1"
"FI","predicted","-","0.96","","NUF2 (FI) TOP2A","true","","NUF2 (FI) TOP2A"
"FI","predicted","-","0.96","","NUF2 (FI) TPX2","true","","NUF2 (FI) TPX2"
"FI","complex; input","-","1.0","","NUF2 (FI) PDS5A","true","","NUF2 (FI) PDS5A"
"FI","predicted","-","0.98","","NUF2 (FI) SPAG5","true","","NUF2 (FI) SPAG5"
"FI","PPrel: activated by","<-","1.0","","DUOX2 (FI) DUOXA2","true","","DUOX2 (FI) DUOXA2"
"FI","PPrel: activated, ubiquitination","<-","1.0","","TRAF5 (FI) UBE2V1","true","","TRAF5 (FI) UBE2V1"
"FI","complex","-","1.0","","UTP20 (FI) WDR36","true","","UTP20 (FI) WDR36"
"FI","complex","-","1.0","","CEP250 (FI) CEP290","true","","CEP250 (FI) CEP290"
"FI","complex","-","1.0","","CEP250 (FI) IQCB1","true","","CEP250 (FI) IQCB1"
"FI","complex; input","-","1.0","","CEP250 (FI) RAB3IP","true","","CEP250 (FI) RAB3IP"
"FI","complex; input","-","1.0","","CEP250 (FI) HMMR","true","","CEP250 (FI) HMMR"
"FI","complex; input","-","1.0","","CEP250 (FI) TPX2","true","","CEP250 (FI) TPX2"
"FI","PPrel: dissociation; PPrel: inhibited by; complex; reaction","|-","1.0","","E2F5 (FI) RBL1","true","","E2F5 (FI) RBL1"
"FI","complex; input","-","1.0","","DNAJC6 (FI) EREG","true","","DNAJC6 (FI) EREG"
"FI","complex; input","-","1.0","","DNAJC6 (FI) FNBP1L","true","","DNAJC6 (FI) FNBP1L"
"FI","complex; input","-","1.0","","IQCB1 (FI) RAB3IP","true","","IQCB1 (FI) RAB3IP"
"FI","predicted","-","0.95","","NCAPG (FI) NUF2","true","","NCAPG (FI) NUF2"
"FI","predicted","-","0.91","","NCAPG (FI) POLQ","true","","NCAPG (FI) POLQ"
"FI","predicted","-","0.9","","NCAPG (FI) PDS5A","true","","NCAPG (FI) PDS5A"
"FI","predicted","-","0.96","","NCAPG (FI) TPX2","true","","NCAPG (FI) TPX2"
"FI","predicted","-","0.92","","NCAPG (FI) NEIL3","true","","NCAPG (FI) NEIL3"
"FI","predicted","-","0.91","","KNTC1 (FI) NCAPG","true","","KNTC1 (FI) NCAPG"
"FI","complex; input","-","1.0","","KNTC1 (FI) PDS5A","true","","KNTC1 (FI) PDS5A"
"FI","complex; input","-","1.0","","KNTC1 (FI) NUF2","true","","KNTC1 (FI) NUF2"
"FI","predicted","-","0.94","","KNTC1 (FI) SPAG5","true","","KNTC1 (FI) SPAG5"
"FI","predicted","-","0.9","","ZNF485 (FI) ZNF92","true","","ZNF485 (FI) ZNF92"
"FI","expression regulated by","<-","1.0","","GNG4 (FI) HNF4A","true","","GNG4 (FI) HNF4A"
"FI","PPrel: activation","->","1.0","","GNG4 (FI) PLCB4","true","","GNG4 (FI) PLCB4"
"FI","inhibited by","|-","1.0","","GNG4 (FI) GPSM2","true","","GNG4 (FI) GPSM2"
"FI","PPrel: activation","->","1.0","","GNG4 (FI) PIK3CB","true","","GNG4 (FI) PIK3CB"
"FI","PPrel: inhibited by","|-","1.0","","CACNA1D (FI) GNG4","true","","CACNA1D (FI) GNG4"
"FI","expression regulated by","<-","1.0","","TOP2A (FI) TP53","true","","TOP2A (FI) TP53"
"FI","expression regulates","->","1.0","","BCL11A (FI) ID1","true","","BCL11A (FI) ID1"
"FI","expression regulates","->","1.0","","BCL11A (FI) ZNF823","true","","BCL11A (FI) ZNF823"
"FI","ECrel: compound","-","1.0","","MTMR8 (FI) PI4K2B","true","","MTMR8 (FI) PI4K2B"
"FI","ECrel: compound","-","1.0","","MTMR8 (FI) PLCB4","true","","MTMR8 (FI) PLCB4"
"FI","ECrel: compound","-","1.0","","MTMR8 (FI) PLCE1","true","","MTMR8 (FI) PLCE1"
"FI","predicted","-","0.9","","RBM39 (FI) RNPC3","true","","RBM39 (FI) RNPC3"
"FI","predicted","-","0.92","","RBM39 (FI) SRPK1","true","","RBM39 (FI) SRPK1"
"FI","predicted","-","0.96","","KIF11 (FI) SPAG5","true","","KIF11 (FI) SPAG5"
"FI","predicted","-","0.93","","KIF11 (FI) NUF2","true","","KIF11 (FI) NUF2"
"FI","predicted","-","0.95","","KIF11 (FI) KIF20B","true","","KIF11 (FI) KIF20B"
"FI","predicted","-","0.89","","KIF11 (FI) NCAPG","true","","KIF11 (FI) NCAPG"
"FI","predicted","-","0.91","","KIF11 (FI) KNTC1","true","","KIF11 (FI) KNTC1"
"FI","predicted","-","0.94","","KIF11 (FI) POLQ","true","","KIF11 (FI) POLQ"
"FI","predicted","-","0.96","","KIF11 (FI) KIF15","true","","KIF11 (FI) KIF15"
"FI","predicted","-","0.97","","KIF14 (FI) TPX2","true","","KIF14 (FI) TPX2"
"FI","predicted","-","0.96","","KIF14 (FI) KIF20B","true","","KIF14 (FI) KIF20B"
"FI","predicted","-","0.91","","KIF14 (FI) NCAPG","true","","KIF14 (FI) NCAPG"
"FI","predicted","-","0.97","","KIF14 (FI) SPAG5","true","","KIF14 (FI) SPAG5"
"FI","predicted","-","0.96","","KIF14 (FI) NUF2","true","","KIF14 (FI) NUF2"
"FI","predicted","-","0.96","","KIF14 (FI) KIF15","true","","KIF14 (FI) KIF15"
"FI","predicted","-","0.93","","KIF14 (FI) POLQ","true","","KIF14 (FI) POLQ"
"FI","predicted","-","0.92","","KIF14 (FI) KNTC1","true","","KIF14 (FI) KNTC1"
"FI","complex; input","-","1.0","","CFTR (FI) FNBP1L","true","","CFTR (FI) FNBP1L"
"FI","complex","-","1.0","","CFTR (FI) UBE2V1","true","","CFTR (FI) UBE2V1"
"FI","complex; input","-","1.0","","CFTR (FI) DNAJC6","true","","CFTR (FI) DNAJC6"
"FI","predicted","-","0.91","","CFTR (FI) SLC4A7","true","","CFTR (FI) SLC4A7"
"FI","predicted","-","0.92","","KIF15 (FI) POLQ","true","","KIF15 (FI) POLQ"
"FI","predicted","-","0.91","","KIF15 (FI) NCAPG","true","","KIF15 (FI) NCAPG"
"FI","predicted","-","0.92","","KIF15 (FI) NUF2","true","","KIF15 (FI) NUF2"
"FI","predicted","-","0.92","","KIF15 (FI) KIF20B","true","","KIF15 (FI) KIF20B"
"FI","predicted","-","0.94","","KIF15 (FI) MKI67","true","","KIF15 (FI) MKI67"
"FI","complex; input; predicted","-","1.0","","KIF15 (FI) TPX2","true","","KIF15 (FI) TPX2"
"FI","predicted","-","0.95","","KIF15 (FI) TOP2A","true","","KIF15 (FI) TOP2A"
"FI","predicted","-","0.93","","KIF15 (FI) SPAG5","true","","KIF15 (FI) SPAG5"
"FI","predicted","-","0.91","","DNA2 (FI) POLQ","true","","DNA2 (FI) POLQ"
"FI","predicted","-","0.89","","DNA2 (FI) MCM8","true","","DNA2 (FI) MCM8"
"FI","predicted","-","0.9","","DNA2 (FI) RAD54B","true","","DNA2 (FI) RAD54B"
"FI","catalyze","->","1.0","","DNA2 (FI) TP53","true","","DNA2 (FI) TP53"
"FI","catalyzed by","<-","1.0","","DNA2 (FI) GEN1","true","","DNA2 (FI) GEN1"
"FI","complex; input","-","1.0","","EREG (FI) FNBP1L","true","","EREG (FI) FNBP1L"
"FI","PPrel: activation","->","1.0","","EREG (FI) FGFR3","true","","EREG (FI) FGFR3"
"FI","complex; input","-","1.0","","CENPE (FI) KNTC1","true","","CENPE (FI) KNTC1"
"FI","predicted","-","0.97","","CENPE (FI) TOP2A","true","","CENPE (FI) TOP2A"
"FI","complex; input","-","1.0","","CENPE (FI) NUF2","true","","CENPE (FI) NUF2"
"FI","complex; input","-","1.0","","CENPE (FI) PDS5A","true","","CENPE (FI) PDS5A"
"FI","complex; input","-","1.0","","CENPE (FI) CENPK","true","","CENPE (FI) CENPK"
"FI","complex; input","-","1.0","","CENPE (FI) CENPF","true","","CENPE (FI) CENPF"
"FI","predicted","-","0.92","","CENPE (FI) NEIL3","true","","CENPE (FI) NEIL3"
"FI","predicted","-","0.91","","CENPE (FI) POLQ","true","","CENPE (FI) POLQ"
"FI","predicted","-","0.98","","CENPE (FI) KIF15","true","","CENPE (FI) KIF15"
"FI","predicted","-","0.96","","CENPE (FI) KIF11","true","","CENPE (FI) KIF11"
"FI","predicted","-","0.96","","CENPE (FI) KIF14","true","","CENPE (FI) KIF14"
"FI","complex; input","-","1.0","","CENPE (FI) DSN1","true","","CENPE (FI) DSN1"
"FI","predicted","-","0.95","","CENPE (FI) KIF20B","true","","CENPE (FI) KIF20B"
"FI","predicted","-","0.98","","CENPE (FI) TPX2","true","","CENPE (FI) TPX2"
"FI","predicted","-","0.97","","CENPE (FI) SPAG5","true","","CENPE (FI) SPAG5"
"FI","predicted","-","0.93","","CENPE (FI) DEPDC1","true","","CENPE (FI) DEPDC1"
"FI","predicted","-","0.97","","CENPE (FI) NCAPG","true","","CENPE (FI) NCAPG"
"FI","predicted","-","0.92","","MCM8 (FI) RBL1","true","","MCM8 (FI) RBL1"
"FI","predicted","-","0.91","","MCM8 (FI) TP53","true","","MCM8 (FI) TP53"
"FI","predicted","-","0.93","","DBF4 (FI) DNA2","true","","DBF4 (FI) DNA2"
"FI","complex; input","-","1.0","","DBF4 (FI) MCM8","true","","DBF4 (FI) MCM8"
"FI","complex; input","-","1.0","","AKAP9 (FI) HMMR","true","","AKAP9 (FI) HMMR"
"FI","complex","-","1.0","","AKAP9 (FI) CDK1","true","","AKAP9 (FI) CDK1"
"FI","complex","-","1.0","","AKAP9 (FI) IQCB1","true","","AKAP9 (FI) IQCB1"
"FI","complex","-","1.0","","AKAP9 (FI) AURKA","true","","AKAP9 (FI) AURKA"
"FI","complex","-","1.0","","AKAP9 (FI) CEP152","true","","AKAP9 (FI) CEP152"
"FI","complex","-","1.0","","AKAP9 (FI) CEP250","true","","AKAP9 (FI) CEP250"
"FI","complex","-","1.0","","AKAP9 (FI) CEP290","true","","AKAP9 (FI) CEP290"
"FI","complex; input","-","1.0","","AKAP9 (FI) TPX2","true","","AKAP9 (FI) TPX2"
"FI","complex; input","-","1.0","","AKAP9 (FI) RAB3IP","true","","AKAP9 (FI) RAB3IP"
"FI","predicted","-","0.94","","POLQ (FI) TPX2","true","","POLQ (FI) TPX2"
"FI","predicted","-","0.94","","POLQ (FI) TOP2A","true","","POLQ (FI) TOP2A"
"FI","predicted","-","0.9","","POLQ (FI) RAD54B","true","","POLQ (FI) RAD54B"
"FI","predicted","-","0.92","","POLQ (FI) SPAG5","true","","POLQ (FI) SPAG5"
"FI","predicted","-","0.89","","CCDC18 (FI) SASS6","true","","CCDC18 (FI) SASS6"
"FI","catalyze","->","1.0","","TAF4 (FI) TP53","true","","TAF4 (FI) TP53"
"FI","complex; inhibite; input","-|","1.0","","PHF20 (FI) TP53","true","","PHF20 (FI) TP53"
"FI","PPrel: activated, indirect effect","<-","1.0","","PIK3CB (FI) TRAF5","true","","PIK3CB (FI) TRAF5"
"FI","ECrel: compound; PPrel: compound","-","1.0","","PIK3CB (FI) VAV3","true","","PIK3CB (FI) VAV3"
"FI","ECrel: compound","-","1.0","","PIK3CB (FI) PLCB4","true","","PIK3CB (FI) PLCB4"
"FI","ECrel: compound","-","1.0","","PIK3CB (FI) PLCE1","true","","PIK3CB (FI) PLCE1"
"FI","predicted","-","0.91","","PLCB4 (FI) PLCH1","true","","PLCB4 (FI) PLCH1"
"FI","PPrel: activation; complex; input","->","1.0","","FGFR3 (FI) PIK3CB","true","","FGFR3 (FI) PIK3CB"
"FI","PPrel: ubiquitinated","-","1.0","","FGFR3 (FI) NEDD4","true","","FGFR3 (FI) NEDD4"
"FI","PPrel: activation","->","1.0","","FGFR3 (FI) PLCB4","true","","FGFR3 (FI) PLCB4"
"FI","complex; input","-","1.0","","LUC7L3 (FI) RBM39","true","","LUC7L3 (FI) RBM39"
"FI","predicted","-","0.92","","LUC7L3 (FI) SRPK1","true","","LUC7L3 (FI) SRPK1"
"FI","expression regulated by","<-","1.0","","BRCA1 (FI) HNF4A","true","","BRCA1 (FI) HNF4A"
"FI","predicted","-","0.95","","BRCA1 (FI) KIF20B","true","","BRCA1 (FI) KIF20B"
"FI","expression regulated by","<-","1.0","","BRCA1 (FI) HNF4G","true","","BRCA1 (FI) HNF4G"
"FI","predicted","-","0.9","","BRCA1 (FI) KIF11","true","","BRCA1 (FI) KIF11"
"FI","predicted","-","0.94","","BRCA1 (FI) CDK1","true","","BRCA1 (FI) CDK1"
"FI","input","-","1.0","","BRCA1 (FI) RIF1","true","","BRCA1 (FI) RIF1"
"FI","predicted","-","0.9","","BRCA1 (FI) MCM8","true","","BRCA1 (FI) MCM8"
"FI","activated by","<-","1.0","","BRCA1 (FI) MND1","true","","BRCA1 (FI) MND1"
"FI","predicted","-","0.93","","BRCA1 (FI) TOP2A","true","","BRCA1 (FI) TOP2A"
"FI","PPrel; complex; input","-","1.0","","BRCA1 (FI) BRCA2","true","","BRCA1 (FI) BRCA2"
"FI","expression regulates","->","1.0","","BRCA1 (FI) CEACAM1","true","","BRCA1 (FI) CEACAM1"
"FI","PPrel: binding/association; complex; input","-","1.0","","BRCA1 (FI) BRIP1","true","","BRCA1 (FI) BRIP1"
"FI","predicted","-","0.9","","BRCA1 (FI) PRKDC","true","","BRCA1 (FI) PRKDC"
"FI","catalyze; complex; input","->","1.0","","BRCA1 (FI) TP53","true","","BRCA1 (FI) TP53"
"FI","predicted","-","0.94","","BRCA1 (FI) SPAG5","true","","BRCA1 (FI) SPAG5"
"FI","complex; input","-","1.0","","BRCA1 (FI) DNA2","true","","BRCA1 (FI) DNA2"
"FI","predicted","-","0.91","","BRCA1 (FI) FIGNL1","true","","BRCA1 (FI) FIGNL1"
"FI","predicted","-","0.95","","BRCA1 (FI) CENPE","true","","BRCA1 (FI) CENPE"
"FI","predicted","-","0.97","","BRCA1 (FI) CENPF","true","","BRCA1 (FI) CENPF"
"FI","predicted","-","0.93","","BRCA1 (FI) POLQ","true","","BRCA1 (FI) POLQ"
"FI","catalyzed by","<-","1.0","","BRCA1 (FI) GEN1","true","","BRCA1 (FI) GEN1"
"FI","predicted","-","0.89","","BRCA1 (FI) DEPDC1","true","","BRCA1 (FI) DEPDC1"
"FI","predicted","-","0.92","","DSN1 (FI) SPAG5","true","","DSN1 (FI) SPAG5"
"FI","complex; input","-","1.0","","DSN1 (FI) NUF2","true","","DSN1 (FI) NUF2"
"FI","predicted","-","0.9","","DSN1 (FI) KIF11","true","","DSN1 (FI) KIF11"
"FI","predicted","-","0.91","","DSN1 (FI) NCAPG","true","","DSN1 (FI) NCAPG"
"FI","complex; input","-","1.0","","DSN1 (FI) PDS5A","true","","DSN1 (FI) PDS5A"
"FI","complex; input","-","1.0","","DSN1 (FI) KNTC1","true","","DSN1 (FI) KNTC1"
"FI","predicted","-","0.93","","DSN1 (FI) TPX2","true","","DSN1 (FI) TPX2"
"FI","complex","-","1.0","","NSMCE4A (FI) SMC5","true","","NSMCE4A (FI) SMC5"
