shared name
DTYMK (FI) TK1
ANXA11 (FI) PDCD6
GLUL (FI) RIPK3
PUS7L (FI) TRUB1
SLC44A2 (FI) SP1
ALOX12B (FI) ALOXE3
CLCN7 (FI) OSTM1
PHOX2B (FI) TCF12
PAEP (FI) SP2
PAEP (FI) PGR
CD82 (FI) TP53
GEM (FI) YWHAZ
GEM (FI) YWHAQ
GEM (FI) YWHAB
GEM (FI) YWHAE
GEM (FI) YWHAG
ALG11 (FI) ALG2
ALG11 (FI) ALG3
A4GNT (FI) MUC1
A4GNT (FI) MUC2
A4GNT (FI) MUC4
A4GNT (FI) MUC6
A4GNT (FI) MUC7
A4GNT (FI) POMGNT1
A4GNT (FI) MUCL1
A4GNT (FI) MUC12
A4GNT (FI) MUC13
A4GNT (FI) MUC16
A4GNT (FI) MUC15
A4GNT (FI) MUC17
A4GNT (FI) MUC21
A4GNT (FI) MUC20
A4GNT (FI) MUC5B
HERC4 (FI) HERC6
HERC4 (FI) USP5
HERC4 (FI) UBC
MATN2 (FI) MATN4
FCRL1 (FI) MS4A1
SENP6 (FI) SUMO2
SENP6 (FI) SUMO1
SENP6 (FI) SUMO4
SENP6 (FI) SUMO3
GRHL2 (FI) POU2F2
ATP10A (FI) ATP8B2
ATP10A (FI) ATP8B4
ATP10A (FI) ATP10B
ATP10A (FI) ATP10D
ATP10A (FI) ATP11B
ATP10A (FI) ATP9A
ATP10A (FI) ATP9B
TOMM20L (FI) TOMM40L
PRRT2 (FI) SNAP25
BTG4 (FI) PABPC1L2A
BTG4 (FI) PABPC3
BTG4 (FI) PABPC5
BTG4 (FI) PABPC4
BTG4 (FI) PABPC1
ABCA5 (FI) ABCA6
PECR (FI) PEX2
PECR (FI) PEX5
PECR (FI) PEX10
PECR (FI) PEX12
PECR (FI) PEX14
PECR (FI) PEX13
MPV17 (FI) PEX5
MPV17 (FI) PEX2
MPV17 (FI) PEX10
MPV17 (FI) PEX13
MPV17 (FI) PEX12
MPV17 (FI) PEX14
PLIN5 (FI) PPARG
PLIN5 (FI) RXRB
PLIN5 (FI) RXRA
PLIN5 (FI) RXRG
PPFIBP1 (FI) PTPRD
PPFIBP1 (FI) PTPRF
PPFIBP1 (FI) PTPRS
MEGF8 (FI) SMO
MLF1 (FI) YWHAE
LIPG (FI) STAT3
NRARP (FI) ZBTB7A
DECR1 (FI) PRKCB
DECR1 (FI) PRKCA
DECR1 (FI) ECH1
PPHLN1 (FI) PPL
CAPN7 (FI) VHL
CAPN7 (FI) HTT
MARCO (FI) SCGB3A2
MAGEA11 (FI) MAGEA6
MACROD1 (FI) MYC
MACROD1 (FI) XRCC5
HACE1 (FI) OPTN
CLDN14 (FI) GATA4
CLDN14 (FI) PARD3
CLDN14 (FI) TJP1
CLDN14 (FI) TJP3
FARSA (FI) FARSB
CRELD2 (FI) DNAJB11
ATP13A3 (FI) SLC10A7
RAB15 (FI) RAB3D
GOT1L1 (FI) IDH3A
ACOT11 (FI) PCTP
IFITM2 (FI) STAT2
IFITM2 (FI) STAT1
INSC (FI) PARD3
CYP3A5 (FI) CYP3A7
IMMP2L (FI) TFAM
IMMP2L (FI) NDUFS4
IMMP2L (FI) OMA1
CXADR (FI) EP300
MAP6 (FI) TUBB2A
PDCD5 (FI) SRF
DUSP19 (FI) MAP3K5
ADAMTSL1 (FI) POFUT2
LSS (FI) SREBF1
LYST (FI) VTA1
HHAT (FI) SHH
FAM50B (FI) FOXA2
MAB21L1 (FI) POU5F1
MAB21L1 (FI) MAB21L2
MYOC (FI) USF1
MYOC (FI) USF2
AQP1 (FI) PTGER2
AQP1 (FI) PTGER4
AQP1 (FI) TP53
SLC39A3 (FI) SLC39A9
AGA (FI) TFAP2A
GPR139 (FI) GPR45
GPR139 (FI) GPR62
GPR139 (FI) GPR63
ICAM4 (FI) ITGAL
ICAM4 (FI) ITGAM
ICAM4 (FI) ITGB2
DKKL1 (FI) EGR1
GPD2 (FI) SP3
GPD2 (FI) SP4
DCLK3 (FI) MAST4
DCLK3 (FI) STK32C
DCLK3 (FI) STK32A
SGCA (FI) SGCB
SGCA (FI) SGCD
CDX1 (FI) LEF1
CDX1 (FI) CTNNB1
EPPK1 (FI) KRT72
EPPK1 (FI) KRT82
EPPK1 (FI) VIM
GPR12 (FI) GPR50
GPR12 (FI) GPR6
RNF220 (FI) UBE2E1
RPIA (FI) TKT
LRRC8B (FI) LRRC8D
LRRC8B (FI) LRRC8C
LRRC8B (FI) LRRC8E
LRRC8C (FI) LRRC8D
LRRC8C (FI) LRRC8E
ICA1 (FI) RAB2A
ICA1 (FI) RAB2B
CLPX (FI) HSPE1
RDH5 (FI) RLBP1
ANXA7 (FI) CTSB
PLS3 (FI) TAGLN2
FCGRT (FI) HLA-E
SIGLEC15 (FI) TYROBP
PTAR1 (FI) RABGGTB
NAA10 (FI) NAA50
NAA10 (FI) NAA11
NAA10 (FI) NAA16
NAA10 (FI) NAA15
NLRP10 (FI) NLRP4
FOXD1 (FI) TCF12
FOXD1 (FI) FOXK1
FOXD1 (FI) FOXK2
FOXD1 (FI) FOXD3
FNDC5 (FI) PKP1
DEF6 (FI) RAC2
DEF6 (FI) RAC1
DEF6 (FI) RHOA
MTAP (FI) PNP
MCC (FI) NFKBIB
MCC (FI) RASAL2
DCUN1D2 (FI) UBE2M
DCUN1D2 (FI) UBE2F
NUDT16L1 (FI) SDC4
NPM2 (FI) NPM3
AKAP11 (FI) ZBTB33
ARL6IP5 (FI) RHOA
ARL6IP5 (FI) RHOB
ARL6IP5 (FI) SLC1A2
ARL6IP5 (FI) SLC1A3
ARL6IP5 (FI) SLC1A1
ARL6IP5 (FI) SLC1A6
ARL6IP5 (FI) SLC1A7
SPPL2A (FI) SPPL3
SPPL2A (FI) SPPL2B
SPPL2A (FI) TNF
SCUBE1 (FI) SCUBE2
CAMP (FI) PRTN3
CAMP (FI) RELA
CAMP (FI) NFKB1
CAMP (FI) JUN
CAMP (FI) VDR
CCDC124 (FI) CTCF
CCDC124 (FI) SMC3
CCDC124 (FI) RAD21
CCDC124 (FI) MYC
CCDC124 (FI) NR3C1
CCDC124 (FI) YY1
