shared name
NDST2 (FI) SDC2
NDST2 (FI) SDC4
NDST2 (FI) NDST3
NDST1 (FI) SDC1
NDST1 (FI) SDC2
NDST1 (FI) SDC3
NDST1 (FI) SDC4
NDST1 (FI) NDST2
NDST1 (FI) NDST3
NDST1 (FI) NDST4
DYRK1A (FI) TTK
DYRK1A (FI) PRKAR1B
DYRK1A (FI) PRKACB
DYRK1A (FI) PRKACA
DYRK1A (FI) SNCA
DYRK1A (FI) YWHAH
DYRK1A (FI) LATS2
DYRK1A (FI) SIRT1
DYRK1A (FI) LIN9
DYRK1A (FI) RBBP4
DYRK1A (FI) RBM10
DYRK1A (FI) LIN54
DYRK1A (FI) LIN52
DYRK1A (FI) LIN37
DYRK1A (FI) EP300
TOX2 (FI) TOX4
TXK (FI) VAV3
TXK (FI) VAV1
TXK (FI) VAV2
PDCD1LG2 (FI) PTPN11
PDCD1LG2 (FI) PTPN6
ANKRD9 (FI) RNF7
ANKRD9 (FI) COPS7A
ANKRD9 (FI) COPS7B
ANKRD9 (FI) COMMD1
ANKRD9 (FI) CAND1
ANKRD9 (FI) COPS2
ANKRD9 (FI) COPS5
ANKRD9 (FI) COPS6
ANKRD9 (FI) COPS3
ANKRD9 (FI) COPS4
ANKRD9 (FI) COPS8
ANKRD9 (FI) UBE2F
ANKRD9 (FI) NEDD8
ANKRD9 (FI) GPS1
ANKRD9 (FI) CUL5
ANKRD9 (FI) DCUN1D1
ANKRD9 (FI) CCDC22
EPC2 (FI) FOXR1
EPC2 (FI) FOXR2
EPC2 (FI) MYC
EPC2 (FI) SP3
EPC2 (FI) TADA2B
EPC2 (FI) TRRAP
EPC2 (FI) RUVBL1
EPC2 (FI) YEATS4
EPC2 (FI) MORF4L1
EPC2 (FI) MORF4L2
EPC2 (FI) MED23
EPC2 (FI) MEAF6
EPC2 (FI) KLF8
EPC2 (FI) KAT5
EPC2 (FI) MBTD1
EPC2 (FI) ING5
EPC2 (FI) ING3
EPC2 (FI) MED13L
EPC2 (FI) ZNF644
EPC2 (FI) KDM3B
EPC2 (FI) VPS72
EPC2 (FI) SUPT16H
EPC2 (FI) SRCAP
EPC2 (FI) RIF1
CLDN5 (FI) EGR1
CLDN5 (FI) TJP3
CLDN5 (FI) TJP1
CLDN5 (FI) GATA4
CLDN5 (FI) PARD3
CLDN5 (FI) YY1
CLDN5 (FI) MAX
CLDN5 (FI) CLDN7
CLDN5 (FI) EP300
KIF17 (FI) KIF3A
KIF17 (FI) KIF3B
KIF17 (FI) XPO1
KIF17 (FI) LIN7C
KIF17 (FI) LIN7A
KIF17 (FI) LIN7B
KIF17 (FI) TNPO1
SNRK (FI) TSSK3
SNRK (FI) STK38L
SNRK (FI) TRIB3
SNRK (FI) STK11
SNRK (FI) STK35
SNRK (FI) STK31
SNRK (FI) TSSK1B
SNRK (FI) SRPK3
KISS1 (FI) KISS1R
ARIH1 (FI) RNF138
ARIH1 (FI) PLCG1
ARIH1 (FI) JAK1
ARIH1 (FI) BTBD1
ARIH1 (FI) IRF3
ARIH1 (FI) FBXO3
ARIH1 (FI) FBXW2
ARIH1 (FI) BRCA1
ARIH1 (FI) STAT1
ARIH1 (FI) FLNB
ARIH1 (FI) FBXO21
ARIH1 (FI) UBE2L3
ARIH1 (FI) UBE2L6
ARIH1 (FI) UBE2E1
ARIH1 (FI) UHRF1
ARIH1 (FI) EIF4E
ARIH1 (FI) IFIT1
ARIH1 (FI) EIF4A3
ARIH1 (FI) EIF4A2
ARIH1 (FI) EIF4A1
ARIH1 (FI) EIF4E3
ARIH1 (FI) EIF4E2
ARIH1 (FI) EIF4G2
ARIH1 (FI) EIF4G1
ARIH1 (FI) EIF4G3
ARIH1 (FI) PPM1B
ARIH1 (FI) KCTD10
ARIH1 (FI) UBE2N
ARIH1 (FI) ISG15
ARIH1 (FI) MAPK3
ZKSCAN3 (FI) ZSCAN20
ZKSCAN3 (FI) ZNF8
ZKSCAN3 (FI) ZNF148
ZKSCAN3 (FI) ZNF174
ZKSCAN3 (FI) ZNF281
ZKSCAN3 (FI) ZNF232
ZKSCAN3 (FI) ZNF396
ZKSCAN3 (FI) ZNF350
ZKSCAN3 (FI) ZNF382
ZKSCAN3 (FI) ZNF423
ZKSCAN3 (FI) ZNF746
ZKSCAN3 (FI) ZNF711
ZKSCAN3 (FI) ZKSCAN4
ZKSCAN3 (FI) ZNF24
EIF2B5 (FI) FOXA1
EIF2B5 (FI) GATA3
EIF2B5 (FI) GSK3A
EIF2B5 (FI) GSK3B
EIF2B5 (FI) EIF3L
EIF2B5 (FI) EIF2S3
EIF2B5 (FI) EIF2S2
EIF2B5 (FI) EIF2S1
EIF2B5 (FI) EIF4G3
USP8 (FI) WNT3A
MRPL44 (FI) PTCD3
MRPL44 (FI) MRPS21
MRPL44 (FI) MRPS22
MRPL44 (FI) MRPS23
MRPL44 (FI) MRPS24
MRPL44 (FI) MRPS25
MRPL44 (FI) MRPS26
MRPL44 (FI) MRPS27
MRPL44 (FI) MRPS28
MRPL44 (FI) MRPS10
MRPL44 (FI) MRPS11
MRPL44 (FI) MRPS12
MRPL44 (FI) MRPS14
MRPL44 (FI) MRPS15
MRPL44 (FI) MRPS16
MRPL44 (FI) MRPS17
MRPL44 (FI) MRPS30
MRPL44 (FI) MRPS31
MRPL44 (FI) MRPS33
MRPL44 (FI) MRPS34
MRPL44 (FI) MRPS35
MRPL44 (FI) MRPS36
MRPL44 (FI) MRPL45
MRPL44 (FI) MRPL46
MRPL44 (FI) MRPL47
MRPL44 (FI) MRPL48
MRPL44 (FI) MRPL49
MRPL44 (FI) MRPL50
MRPL44 (FI) MRPL51
MRPL44 (FI) MRPL52
MRPL44 (FI) MRPL53
MRPL44 (FI) MRPL54
MRPL44 (FI) MRPL55
MRPL44 (FI) MTG1
MRPL44 (FI) MRRF
MRPL44 (FI) MRPS18A
MRPL44 (FI) MRPS18B
MRPL44 (FI) MRPS18C
MRPL44 (FI) MTIF2
MRPL44 (FI) MTIF3
MRPL44 (FI) MRPS9
MRPL44 (FI) MRPS2
MRPL44 (FI) MRPS7
MRPL44 (FI) MRPS6
MRPL44 (FI) MRPS5
MRPL44 (FI) MRPL9
MRPL44 (FI) MTRF1L
MRPL44 (FI) OXA1L
MRPL44 (FI) TUFM
MRPL43 (FI) MTIF2
MRPL43 (FI) MTIF3
MRPL43 (FI) MRPS2
MRPL43 (FI) MRPS6
MRPL43 (FI) MRPS5
MRPL43 (FI) MRPS7
MRPL43 (FI) MRPS9
MRPL43 (FI) MRPL9
MRPL43 (FI) MRPL45
MRPL43 (FI) MRPL44
MRPL43 (FI) MRPL47
MRPL43 (FI) MRPL46
MRPL43 (FI) MRPL49
MRPL43 (FI) MRPL48
MRPL43 (FI) MRPL50
MRPL43 (FI) MRPL52
MRPL43 (FI) MRPL51
MRPL43 (FI) MRPL54
MRPL43 (FI) MRPL53
MRPL43 (FI) MRPL55
MRPL43 (FI) MRPS11
MRPL43 (FI) MRPS10
MRPL43 (FI) MRPS12
MRPL43 (FI) MRPS15
MRPL43 (FI) MRPS14
MRPL43 (FI) MRPS17
MRPL43 (FI) MRPS16
MRPL43 (FI) MRPS22
MRPL43 (FI) MRPS21
MRPL43 (FI) MRPS24
MRPL43 (FI) MRPS23
MRPL43 (FI) MRPS26
MRPL43 (FI) MRPS25
MRPL43 (FI) MRPS28
MRPL43 (FI) MRPS27
MRPL43 (FI) MRPS31
MRPL43 (FI) MRPS30
MRPL43 (FI) MRPS33
MRPL43 (FI) MRPS35
MRPL43 (FI) MRPS34
MRPL43 (FI) MRPS36
MRPL43 (FI) TUFM
MRPL43 (FI) OXA1L
MRPL43 (FI) RPS6
MRPL43 (FI) RPS11
MRPL43 (FI) RPL10
MRPL43 (FI) MTRF1L
MRPL43 (FI) MRRF
MRPL43 (FI) PTCD3
MRPL43 (FI) MRPS18B
MRPL43 (FI) MRPS18C
MRPL43 (FI) MRPS18A
RHOBTB1 (FI) ROCK2
RHOBTB1 (FI) ROCK1
RHOBTB1 (FI) RHOF
MRPL40 (FI) MTRF1L
MRPL40 (FI) PTCD3
MRPL40 (FI) TUFM
MRPL40 (FI) MTIF3
MRPL40 (FI) MTIF2
MRPL40 (FI) MRRF
MRPL40 (FI) MRPL9
MRPL40 (FI) MRPS9
MRPL40 (FI) MRPS5
MRPL40 (FI) MRPS6
MRPL40 (FI) MRPS7
MRPL40 (FI) MRPS2
MRPL40 (FI) MRPS18A
MRPL40 (FI) MRPS18B
MRPL40 (FI) MRPS18C
MRPL40 (FI) MRPL44
MRPL40 (FI) MRPL43
MRPL40 (FI) MRPL46
MRPL40 (FI) MRPL45
MRPL40 (FI) MRPL42
MRPL40 (FI) MRPL41
MRPL40 (FI) MRPL48
MRPL40 (FI) MRPL47
MRPL40 (FI) MRPL49
MRPL40 (FI) MRPL55
MRPL40 (FI) MRPL54
MRPL40 (FI) MRPL51
MRPL40 (FI) MRPL50
MRPL40 (FI) MRPL53
MRPL40 (FI) MRPL52
MRPL40 (FI) MRPS23
MRPL40 (FI) MRPS22
MRPL40 (FI) MRPS25
MRPL40 (FI) MRPS24
MRPL40 (FI) MRPS21
MRPL40 (FI) MRPS27
MRPL40 (FI) MRPS26
MRPL40 (FI) MRPS28
MRPL40 (FI) MRPS12
MRPL40 (FI) MRPS11
MRPL40 (FI) MRPS14
MRPL40 (FI) MRPS10
MRPL40 (FI) MRPS16
MRPL40 (FI) MRPS15
MRPL40 (FI) MRPS17
MRPL40 (FI) MRPS34
MRPL40 (FI) MRPS33
MRPL40 (FI) MRPS36
MRPL40 (FI) MRPS35
MRPL40 (FI) MRPS30
MRPL40 (FI) MRPS31
MRPL40 (FI) OXA1L
MRPL40 (FI) NFE2L1
PF4 (FI) XCR1
PF4 (FI) THBD
PF4 (FI) PROC
PF4 (FI) PROCR
PF4 (FI) PPBP
NLRC5 (FI) UBB
NLRC5 (FI) UBC
NLRC5 (FI) RPS27A
NLRC5 (FI) STAT1
NLRC5 (FI) RNF135
NLRC5 (FI) NLRX1
NLRC5 (FI) TRIM4
NLRC5 (FI) TRAF6
NLRC5 (FI) TRAF2
NLRC5 (FI) UBA52
NLRC5 (FI) TRIM25
NLRC5 (FI) USP14
HELLS (FI) SPAG5
HELLS (FI) SPC25
HELLS (FI) KNTC1
HELLS (FI) SMAD1
HELLS (FI) SMAD4
HELLS (FI) PARP1
HELLS (FI) TPX2
HELLS (FI) SMARCA5
HELLS (FI) PPARD
HELLS (FI) ZWINT
HELLS (FI) SMC3
HELLS (FI) SKA3
HELLS (FI) NCAPG
HELLS (FI) NCAPH
HELLS (FI) ZWILCH
HELLS (FI) PRC1
HELLS (FI) KIF20B
HELLS (FI) KIF18B
HELLS (FI) MAD2L1
HELLS (FI) RBL1
HELLS (FI) KIFC1
HELLS (FI) KIF2C
HELLS (FI) KIF11
HELLS (FI) KIF14
HELLS (FI) KIF15
HELLS (FI) NCAPG2
HELLS (FI) NUMA1
HELLS (FI) RAD54L
HELLS (FI) MYCN
HELLS (FI) NUF2
HELLS (FI) SMARCAD1
HELLS (FI) TCF7L2
HELLS (FI) TCF7L1
HELLS (FI) MYC
HELLS (FI) MKI67
HELLS (FI) RAN
HELLS (FI) LIG1
HELLS (FI) LEF1
HELLS (FI) TIMELESS
HELLS (FI) MCM2
HELLS (FI) MCM8
HELLS (FI) MCM7
HELLS (FI) MCM5
HELLS (FI) PYGO2
HELLS (FI) PYGO1
HELLS (FI) MMP7
HELLS (FI) MELK
HELLS (FI) UHRF1
MRPL28 (FI) MTG1
MRPL28 (FI) MRRF
MRPL28 (FI) PTCD3
MRPL28 (FI) MTIF3
MRPL28 (FI) MTIF2
MRPL28 (FI) MRPS18C
MRPL28 (FI) MRPS18B
MRPL28 (FI) MRPS18A
MRPL28 (FI) MRPL9
MRPL28 (FI) MRPL3
MRPL28 (FI) MRPL4
MRPL28 (FI) MRPS6
MRPL28 (FI) MRPS7
MRPL28 (FI) MRPS9
MRPL28 (FI) MRPS2
MRPL28 (FI) MRPS5
MRPL28 (FI) MRPL45
MRPL28 (FI) MRPL46
MRPL28 (FI) MRPL47
MRPL28 (FI) MRPL48
MRPL28 (FI) MRPL41
MRPL28 (FI) MRPL42
MRPL28 (FI) MRPL43
MRPL28 (FI) MRPL44
MRPL28 (FI) MRPL49
MRPL28 (FI) MRPL50
MRPL28 (FI) MRPL51
MRPL28 (FI) MRPL34
MRPL28 (FI) MRPL35
MRPL28 (FI) MRPL36
MRPL28 (FI) MRPL37
MRPL28 (FI) MRPL30
MRPL28 (FI) MRPL32
MRPL28 (FI) MRPL33
MRPL28 (FI) MRPL38
MRPL28 (FI) MRPL39
MRPL28 (FI) MRPL40
MRPL28 (FI) MRPL52
MRPL28 (FI) MRPL53
MRPL28 (FI) MRPL54
MRPL28 (FI) MRPL55
MRPL28 (FI) MRPS24
MRPL28 (FI) MRPS25
MRPL28 (FI) MRPS26
MRPL28 (FI) MRPS27
MRPL28 (FI) MRPS21
MRPL28 (FI) MRPS22
MRPL28 (FI) MRPS23
MRPL28 (FI) MRPS28
MRPL28 (FI) MRPS14
MRPL28 (FI) MRPS15
MRPL28 (FI) MRPS16
MRPL28 (FI) MRPS10
MRPL28 (FI) MRPS11
MRPL28 (FI) MRPS12
MRPL28 (FI) MRPS17
MRPL28 (FI) MRPS30
MRPL28 (FI) MRPS35
MRPL28 (FI) MRPS36
MRPL28 (FI) MRPS31
MRPL28 (FI) MRPS33
MRPL28 (FI) MRPS34
MRPL28 (FI) OXA1L
MRPL28 (FI) TUFM
MRPL28 (FI) RPL10
MRPL28 (FI) RPL26
MRPL28 (FI) RPS8
MRPL28 (FI) RPS6
MRPL28 (FI) RPS15
MRPL28 (FI) RPS12
MRPL28 (FI) RPS27L
MRPL28 (FI) MTRF1L
MRPL27 (FI) PTCD3
MRPL27 (FI) TACO1
MRPL27 (FI) MTRF1L
MRPL27 (FI) MTIF2
MRPL27 (FI) MTIF3
MRPL27 (FI) MRPL4
MRPL27 (FI) MRPL9
MRPL27 (FI) MRPL3
MRPL27 (FI) MRPS6
MRPL27 (FI) MRPS5
MRPL27 (FI) MRPS9
MRPL27 (FI) MRPS7
MRPL27 (FI) MRPS2
MRPL27 (FI) TUFM
MRPL27 (FI) OXA1L
MRPL27 (FI) RPS6
MRPL27 (FI) RPS8
MRPL27 (FI) RPS9
MRPL27 (FI) RPS2
MRPL27 (FI) MRPS12
MRPL27 (FI) MRPS15
MRPL27 (FI) MRPS14
MRPL27 (FI) MRPS11
MRPL27 (FI) MRPS10
MRPL27 (FI) MRPS17
MRPL27 (FI) MRPS16
MRPL27 (FI) MRPS24
MRPL27 (FI) MRPS23
MRPL27 (FI) MRPS26
MRPL27 (FI) MRPS25
MRPL27 (FI) MRPS22
MRPL27 (FI) MRPS21
MRPL27 (FI) MRPS28
MRPL27 (FI) MRPS27
MRPL27 (FI) MRPS35
MRPL27 (FI) MRPS34
MRPL27 (FI) MRPS36
MRPL27 (FI) MRPS31
MRPL27 (FI) MRPS30
MRPL27 (FI) MRPS33
MRPL27 (FI) RPS3A
MRPL27 (FI) RPS19
MRPL27 (FI) RPL19
MRPL27 (FI) RPL10
MRPL27 (FI) MTG1
MRPL27 (FI) MRRF
MRPL27 (FI) MRPL28
MRPL27 (FI) MRPL35
MRPL27 (FI) MRPL36
MRPL27 (FI) MRPL33
MRPL27 (FI) MRPL34
MRPL27 (FI) MRPL32
MRPL27 (FI) MRPL30
MRPL27 (FI) MRPL39
MRPL27 (FI) MRPL37
MRPL27 (FI) MRPL38
MRPL27 (FI) MRPL46
MRPL27 (FI) MRPL47
MRPL27 (FI) MRPL44
MRPL27 (FI) MRPL45
MRPL27 (FI) MRPL42
MRPL27 (FI) MRPL43
MRPL27 (FI) MRPL40
MRPL27 (FI) MRPL41
MRPL27 (FI) MRPL48
MRPL27 (FI) MRPL49
MRPL27 (FI) MRPL50
MRPL27 (FI) MRPL55
MRPL27 (FI) MRPL53
MRPL27 (FI) MRPL54
MRPL27 (FI) MRPL51
MRPL27 (FI) MRPL52
MRPL27 (FI) MRPS18C
MRPL27 (FI) MRPS18B
MRPL27 (FI) MRPS18A
CLEC6A (FI) FCER1G
CLEC6A (FI) LYN
CLEC6A (FI) SYK
CLEC6A (FI) FYN
CLEC6A (FI) PLCG2
CLEC4E (FI) SYK
CLEC4E (FI) PLCG2
CLEC4E (FI) LYN
CLEC4E (FI) FYN
CLEC4E (FI) FCER1G
CLEC4E (FI) CLEC9A
CLEC4E (FI) CLEC6A
MRPL24 (FI) RPL26
MRPL24 (FI) RPL37
MRPL24 (FI) RPS15
MRPL24 (FI) MRPL28
MRPL24 (FI) MRPL27
MRPL24 (FI) MRPL46
MRPL24 (FI) MRPL45
MRPL24 (FI) MRPL48
MRPL24 (FI) MRPL47
MRPL24 (FI) MRPL49
MRPL24 (FI) MRPL40
MRPL24 (FI) MRPL42
MRPL24 (FI) MRPL41
MRPL24 (FI) MRPL44
MRPL24 (FI) MRPL43
MRPL24 (FI) MRPL35
MRPL24 (FI) MRPL34
MRPL24 (FI) MRPL37
MRPL24 (FI) MRPL36
MRPL24 (FI) MRPL39
MRPL24 (FI) MRPL38
MRPL24 (FI) MRPL30
MRPL24 (FI) MRPL33
MRPL24 (FI) MRPL32
MRPL24 (FI) MRPL51
MRPL24 (FI) MRPL50
MRPL24 (FI) MRPL53
MRPL24 (FI) MRPL52
MRPL24 (FI) MRPL55
MRPL24 (FI) MRPL54
MRPL24 (FI) MRPS21
MRPL24 (FI) MRPS23
MRPL24 (FI) MRPS22
MRPL24 (FI) MRPS25
MRPL24 (FI) MRPS24
MRPL24 (FI) MRPS27
MRPL24 (FI) MRPS26
MRPL24 (FI) MRPS28
MRPL24 (FI) MRPS10
MRPL24 (FI) MRPS12
MRPL24 (FI) MRPS11
MRPL24 (FI) MRPS14
MRPL24 (FI) MRPS16
MRPL24 (FI) MRPS15
MRPL24 (FI) MRPS17
MRPL24 (FI) MRPS30
MRPL24 (FI) MRPS31
MRPL24 (FI) MRPS34
MRPL24 (FI) MRPS33
MRPL24 (FI) MRPS36
MRPL24 (FI) MRPS35
MRPL24 (FI) PTCD3
MRPL24 (FI) TUFM
MRPL24 (FI) RPS9
MRPL24 (FI) RPS8
MRPL24 (FI) RPS6
MRPL24 (FI) MTRF1L
MRPL24 (FI) MTIF2
MRPL24 (FI) MTIF3
MRPL24 (FI) MRPS18B
MRPL24 (FI) MRPS18A
MRPL24 (FI) MRPS18C
MRPL24 (FI) MRRF
MRPL24 (FI) MRPS7
MRPL24 (FI) MRPS6
MRPL24 (FI) MRPS9
MRPL24 (FI) MRPS2
MRPL24 (FI) MRPS5
MRPL24 (FI) MRPL4
MRPL24 (FI) MRPL3
MRPL24 (FI) MRPL9
MRPL24 (FI) OXA1L
MRPL23 (FI) RPL23A
MRPL23 (FI) PTCD3
MRPL23 (FI) MRPS18A
MRPL23 (FI) MRPS18C
MRPL23 (FI) MRPS18B
MRPL23 (FI) MRRF
MRPL23 (FI) MRPS10
MRPL23 (FI) MRPS11
MRPL23 (FI) MRPS14
MRPL23 (FI) MRPS15
MRPL23 (FI) MRPS12
MRPL23 (FI) MRPS16
MRPL23 (FI) MRPS17
MRPL23 (FI) MRPS21
MRPL23 (FI) MRPS22
MRPL23 (FI) MRPS25
MRPL23 (FI) MRPS26
MRPL23 (FI) MRPS23
MRPL23 (FI) MRPS24
MRPL23 (FI) MRPS27
MRPL23 (FI) MRPS28
MRPL23 (FI) MRPS33
MRPL23 (FI) MRPS30
MRPL23 (FI) MRPS31
MRPL23 (FI) MRPS36
MRPL23 (FI) MRPS34
MRPL23 (FI) MRPS35
MRPL23 (FI) MRPL24
MRPL23 (FI) MRPL28
MRPL23 (FI) MRPL27
MRPL23 (FI) MRPL35
MRPL23 (FI) MRPL36
MRPL23 (FI) MRPL33
MRPL23 (FI) MRPL34
MRPL23 (FI) MRPL39
MRPL23 (FI) MRPL37
MRPL23 (FI) MRPL38
MRPL23 (FI) MRPL32
MRPL23 (FI) MRPL30
MRPL23 (FI) MRPL46
MRPL23 (FI) MRPL47
MRPL23 (FI) MRPL44
MRPL23 (FI) MRPL45
MRPL23 (FI) MRPL48
MRPL23 (FI) MRPL49
MRPL23 (FI) MRPL42
MRPL23 (FI) MRPL43
MRPL23 (FI) MRPL40
MRPL23 (FI) MRPL41
MRPL23 (FI) MRPL55
MRPL23 (FI) MRPL50
MRPL23 (FI) MRPL53
MRPL23 (FI) MRPL54
MRPL23 (FI) MRPL51
MRPL23 (FI) MRPL52
MRPL23 (FI) MTIF2
MRPL23 (FI) MTIF3
MRPL23 (FI) MRPS2
MRPL23 (FI) MRPS6
MRPL23 (FI) MRPS5
MRPL23 (FI) MRPS9
MRPL23 (FI) MRPS7
MRPL23 (FI) MRPL9
MRPL23 (FI) MRPL3
MRPL23 (FI) MRPL4
MRPL23 (FI) OXA1L
MRPL23 (FI) MTRF1L
MRPL23 (FI) TUFM
MRPL23 (FI) RPS15
MRPL23 (FI) RPS3A
MRPL23 (FI) RPS20
MRPL23 (FI) RPS8
MRPL23 (FI) RPS6
MRPL23 (FI) RPS3
MRPL23 (FI) RPS2
MRPL21 (FI) MTRF1L
MRPL21 (FI) TUFM
MRPL21 (FI) MRPS2
MRPL21 (FI) MRPS5
MRPL21 (FI) MRPS6
MRPL21 (FI) MRPS7
MRPL21 (FI) MRPS9
MRPL21 (FI) MRPL3
MRPL21 (FI) MRPL4
MRPL21 (FI) MRPL9
MRPL21 (FI) OXA1L
MRPL21 (FI) MRPS18B
MRPL21 (FI) MRPS18C
MRPL21 (FI) MRPS18A
MRPL21 (FI) MRRF
MRPL21 (FI) MRPS25
MRPL21 (FI) MRPS26
MRPL21 (FI) MRPS27
MRPL21 (FI) MRPS28
MRPL21 (FI) MRPS21
MRPL21 (FI) MRPS22
MRPL21 (FI) MRPS23
MRPL21 (FI) MRPS24
MRPL21 (FI) MRPS30
MRPL21 (FI) MRPS31
MRPL21 (FI) MRPS36
MRPL21 (FI) MRPS33
MRPL21 (FI) MRPS34
MRPL21 (FI) MRPS35
MRPL21 (FI) MRPS14
MRPL21 (FI) MRPS15
MRPL21 (FI) MRPS16
MRPL21 (FI) MRPS17
MRPL21 (FI) MRPS10
MRPL21 (FI) MRPS11
MRPL21 (FI) MRPS12
MRPL21 (FI) MRPL47
MRPL21 (FI) MRPL46
MRPL21 (FI) MRPL49
MRPL21 (FI) MRPL48
MRPL21 (FI) MRPL43
MRPL21 (FI) MRPL42
MRPL21 (FI) MRPL45
MRPL21 (FI) MRPL44
MRPL21 (FI) MRPL41
MRPL21 (FI) MRPL40
MRPL21 (FI) MRPL54
MRPL21 (FI) MRPL53
MRPL21 (FI) MRPL55
MRPL21 (FI) MRPL50
MRPL21 (FI) MRPL52
MRPL21 (FI) MRPL51
MRPL21 (FI) MRPL24
MRPL21 (FI) MRPL27
MRPL21 (FI) MRPL23
MRPL21 (FI) MRPL22
MRPL21 (FI) MRPL28
MRPL21 (FI) MRPL36
MRPL21 (FI) MRPL35
MRPL21 (FI) MRPL38
MRPL21 (FI) MRPL37
MRPL21 (FI) MRPL32
MRPL21 (FI) MRPL34
MRPL21 (FI) MRPL33
MRPL21 (FI) MRPL30
MRPL21 (FI) MRPL39
MRPL21 (FI) PTCD3
MRPL21 (FI) MTIF3
MRPL21 (FI) MTIF2
DPP3 (FI) NFE2L2
DPP3 (FI) KEAP1
DPP3 (FI) RBX1
DPP3 (FI) PALB2
DPP3 (FI) PEPD
DPP3 (FI) SQSTM1
FCHSD2 (FI) ITSN1
FCHSD2 (FI) STON2
FCHSD1 (FI) FCHSD2
MRPL39 (FI) MTRF1L
MRPL39 (FI) PTCD3
MRPL39 (FI) TUFM
MRPL39 (FI) MTIF2
MRPL39 (FI) MTIF3
MRPL39 (FI) MRPS18B
MRPL39 (FI) MRPS18A
MRPL39 (FI) MRPS18C
MRPL39 (FI) MRPL9
MRPL39 (FI) MRPL4
MRPL39 (FI) MRPS7
MRPL39 (FI) MRPS6
MRPL39 (FI) MRPS9
MRPL39 (FI) MRPS2
MRPL39 (FI) MRPS5
MRPL39 (FI) OXA1L
MRPL39 (FI) MRRF
MRPL39 (FI) MRPL40
MRPL39 (FI) MRPL55
MRPL39 (FI) MRPL54
MRPL39 (FI) MRPL53
MRPL39 (FI) MRPL52
MRPL39 (FI) MRPL51
MRPL39 (FI) MRPL50
MRPL39 (FI) MRPL49
MRPL39 (FI) MRPL48
MRPL39 (FI) MRPL47
MRPL39 (FI) MRPL46
MRPL39 (FI) MRPL45
MRPL39 (FI) MRPL44
MRPL39 (FI) MRPL43
MRPL39 (FI) MRPL42
MRPL39 (FI) MRPL41
MRPL39 (FI) MRPS17
MRPL39 (FI) MRPS16
MRPL39 (FI) MRPS15
MRPL39 (FI) MRPS14
MRPL39 (FI) MRPS12
MRPL39 (FI) MRPS11
MRPL39 (FI) MRPS10
MRPL39 (FI) MRPS36
MRPL39 (FI) MRPS35
MRPL39 (FI) MRPS34
MRPL39 (FI) MRPS33
MRPL39 (FI) MRPS31
MRPL39 (FI) MRPS30
MRPL39 (FI) MRPS28
MRPL39 (FI) MRPS27
MRPL39 (FI) MRPS26
MRPL39 (FI) MRPS25
MRPL39 (FI) MRPS24
MRPL39 (FI) MRPS23
MRPL39 (FI) MRPS22
MRPL39 (FI) MRPS21
MRPL38 (FI) PTCD3
MRPL38 (FI) MRPL51
MRPL38 (FI) MRPL52
MRPL38 (FI) MRPL53
MRPL38 (FI) MRPL54
MRPL38 (FI) MRPL55
MRPL38 (FI) MRPL40
MRPL38 (FI) MRPL41
MRPL38 (FI) MRPL42
MRPL38 (FI) MRPL43
MRPL38 (FI) MRPL44
MRPL38 (FI) MRPL45
MRPL38 (FI) MRPL46
MRPL38 (FI) MRPL47
MRPL38 (FI) MRPL48
MRPL38 (FI) MRPL49
MRPL38 (FI) MRPL50
MRPL38 (FI) MRPL39
MRPL38 (FI) TUFM
MRPL38 (FI) MRPS30
MRPL38 (FI) MRPS31
MRPL38 (FI) MRPS33
MRPL38 (FI) MRPS34
MRPL38 (FI) MRPS35
MRPL38 (FI) MRPS36
MRPL38 (FI) MRPS21
MRPL38 (FI) MRPS22
MRPL38 (FI) MRPS23
MRPL38 (FI) MRPS24
MRPL38 (FI) MRPS25
MRPL38 (FI) MRPS26
MRPL38 (FI) MRPS27
MRPL38 (FI) MRPS28
MRPL38 (FI) MRPS10
MRPL38 (FI) MRPS11
MRPL38 (FI) MRPS12
MRPL38 (FI) MRPS14
MRPL38 (FI) MRPS15
MRPL38 (FI) MRPS16
MRPL38 (FI) MRPS17
MRPL38 (FI) MRPS18A
MRPL38 (FI) MRPS18B
MRPL38 (FI) MRPS18C
MRPL38 (FI) MTIF2
MRPL38 (FI) MTIF3
MRPL38 (FI) MRPL4
MRPL38 (FI) MRPL9
MRPL38 (FI) MRPS2
MRPL38 (FI) MRPS6
MRPL38 (FI) MRPS5
MRPL38 (FI) MRPS9
MRPL38 (FI) MRPS7
MRPL38 (FI) MTRF1L
MRPL38 (FI) MRRF
MRPL38 (FI) OXA1L
MRPL37 (FI) MRRF
MRPL37 (FI) MRPS21
MRPL37 (FI) MRPS23
MRPL37 (FI) MRPS22
MRPL37 (FI) MRPS25
MRPL37 (FI) MRPS24
MRPL37 (FI) MRPS27
MRPL37 (FI) MRPS26
MRPL37 (FI) MRPS28
MRPL37 (FI) MRPS30
MRPL37 (FI) MRPS31
MRPL37 (FI) MRPS34
MRPL37 (FI) MRPS33
MRPL37 (FI) MRPS36
MRPL37 (FI) MRPS35
MRPL37 (FI) MRPS10
MRPL37 (FI) MRPS12
MRPL37 (FI) MRPS11
MRPL37 (FI) MRPS14
MRPL37 (FI) MRPS16
MRPL37 (FI) MRPS15
